shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
shp_1_0,0,60.102340,19.942443
shp_1_0,1,60.103918,19.937272
shp_1_0,2,60.106403,19.929953
shp_1_0,3,60.108150,19.910526
shp_1_0,4,60.115807,19.878218
shp_1_0,5,60.144714,19.812572
shp_1_0,6,60.182280,19.783794
shp_1_0,7,60.194223,19.781430
shp_1_0,8,60.205648,19.766875
shp_1_0,9,60.216354,19.741357
shp_1_0,10,60.216943,19.729472
shp_1_0,11,60.216426,19.671962
shp_1_0,12,60.214667,19.636661
shp_1_0,13,60.217415,19.602318
shp_1_0,14,60.223890,19.567374
shp_1_0,15,60.223328,19.558649
shp_1_1,0,60.223328,19.558649
shp_1_1,1,60.223890,19.567374
shp_1_1,2,60.217415,19.602318
shp_1_1,3,60.214667,19.636661
shp_1_1,4,60.216426,19.671962
shp_1_1,5,60.216943,19.729472
shp_1_1,6,60.216354,19.741357
shp_1_1,7,60.205648,19.766875
shp_1_1,8,60.194223,19.781430
shp_1_1,9,60.182280,19.783794
shp_1_1,10,60.144714,19.812572
shp_1_1,11,60.115807,19.878218
shp_1_1,12,60.108150,19.910526
shp_1_1,13,60.106403,19.929953
shp_1_1,14,60.103918,19.937272
shp_1_1,15,60.102340,19.942443
shp_2_0,0,60.102340,19.942443
shp_2_0,1,60.104463,19.941982
shp_2_0,2,60.111089,19.940445
shp_2_0,3,60.116943,19.942122
shp_2_0,4,60.119694,19.942484
shp_2_0,5,60.127846,19.942249
shp_2_0,6,60.156351,19.947425
shp_2_0,7,60.158994,19.947186
shp_2_0,8,60.185286,19.964018
shp_2_0,9,60.211430,19.973191
shp_2_0,10,60.230598,19.989184
shp_2_0,11,60.234799,19.981066
shp_2_0,12,60.254413,19.963059
shp_2_0,13,60.266423,19.958431
shp_2_0,14,60.280501,19.956562
shp_2_0,15,60.305333,19.951642
shp_2_0,16,60.323394,19.925743
shp_2_0,17,60.339545,19.881348
shp_2_0,18,60.361341,19.843466
shp_2_0,19,60.374613,19.847036
shp_2_1,0,60.374613,19.847036
shp_2_1,1,60.361341,19.843466
shp_2_1,2,60.339545,19.881348
shp_2_1,3,60.323394,19.925743
shp_2_1,4,60.305333,19.951642
shp_2_1,5,60.280501,19.956562
shp_2_1,6,60.266423,19.958431
shp_2_1,7,60.254413,19.963059
shp_2_1,8,60.234799,19.981066
shp_2_1,9,60.230598,19.989184
shp_2_1,10,60.211430,19.973191
