trip_id,arrival_time,departure_time,stop_id,stop_sequence
1_0_0,06:00:00,06:00:00,SH0167,0
1_0_0,06:01:00,06:01:00,SH0465,1
1_0_0,06:02:00,06:02:00,SH0380,2
1_0_0,06:04:00,06:04:00,SH0360,3
1_0_0,06:07:00,06:07:00,SH0065,4
1_0_0,06:15:00,06:15:00,SH0425,5
1_0_0,06:23:00,06:23:00,SH0073,6
1_0_0,06:25:00,06:25:00,SH0008,7
1_0_0,06:28:00,06:28:00,SH0077,8
1_0_0,06:31:00,06:31:00,SH0078,9
1_0_0,06:32:00,06:32:00,SH0083,10
1_0_0,06:38:00,06:38:00,SH0079,11
1_0_0,06:41:00,06:41:00,SH0126,12
1_0_0,06:44:00,06:44:00,SH0128,13
1_0_0,06:48:00,06:48:00,SH0132,14
1_0_0,06:49:00,06:49:00,SH0130,15
1_0_1,06:30:00,06:30:00,SH0167,0
1_0_1,06:31:00,06:31:00,SH0465,1
1_0_1,06:32:00,06:32:00,SH0380,2
1_0_1,06:34:00,06:34:00,SH0360,3
1_0_1,06:37:00,06:37:00,SH0065,4
1_0_1,06:45:00,06:45:00,SH0425,5
1_0_1,06:53:00,06:53:00,SH0073,6
1_0_1,06:55:00,06:55:00,SH0008,7
1_0_1,06:58:00,06:58:00,SH0077,8
1_0_1,07:01:00,07:01:00,SH0078,9
1_0_1,07:02:00,07:02:00,SH0083,10
1_0_1,07:08:00,07:08:00,SH0079,11
1_0_1,07:11:00,07:11:00,SH0126,12
1_0_1,07:14:00,07:14:00,SH0128,13
1_0_1,07:18:00,07:18:00,SH0132,14
1_0_1,07:19:00,07:19:00,SH0130,15
1_0_2,07:00:00,07:00:00,SH0167,0
1_0_2,07:01:00,07:01:00,SH0465,1
1_0_2,07:02:00,07:02:00,SH0380,2
1_0_2,07:04:00,07:04:00,SH0360,3
1_0_2,07:07:00,07:07:00,SH0065,4
1_0_2,07:15:00,07:15:00,SH0425,5
1_0_2,07:23:00,07:23:00,SH0073,6
