stop_id,stop_name,stop_lat,stop_lon
SH0008,Näfsby vsk.,60.194223,19.781430
SH0018,Björknäs,60.323394,19.925743
SH0023,Namnlös,60.116943,19.942122
SH0051,Nabben,60.115261,19.951079
SH0054,Bo-Bil,60.127846,19.942249
SH0058,Jomala kyrka,60.156351,19.947425
SH0059,Rönngården,60.158994,19.947186
SH0065,Brändövägen vsk.,60.115807,19.878218
SH0073,Drygsböle,60.182280,19.783794
SH0077,Korsbro,60.205648,19.766875
SH0078,Kattby,60.216354,19.741357
SH0079,Marbyöjen vsk.,60.216426,19.671962
SH0083,Mariavägen vsk.,60.216943,19.729472
SH0105,Mangelbo,60.254413,19.963059
SH0108,Kroklunds vsk.,60.305333,19.951642
SH0112,Lemböte vsk.,60.082119,20.029227
SH0126,Brinkbacken,60.214667,19.636661
SH0128,Eckerö golf,60.217415,19.602318
SH0130,Storby,60.223328,19.558649
SH0132,Ollasgatan vsk.,60.223890,19.567374
SH0144,Sportkila,60.221130,20.141632
SH0149,Kastelholm,60.230611,20.091936
SH0153,Färjsundsbron,60.239967,20.020486
SH0155,Kullavägen vsk.,60.240527,20.064838
SH0160,Chipsfabriken,60.244254,20.053211
SH0161,Lemströms kanal,60.098392,20.015142
SH0164,Solberget södra,60.112542,19.978784
SH0167,Bussplan,60.102340,19.942443
SH0169,Musikinstitutet,60.111089,19.940445
SH0171,Strandnäs hotell,60.119694,19.942484
SH0193,Strandgränd,60.104463,19.941982
SH0204,Kvarnbo,60.276102,20.062256
SH0217,Geta centrum,60.374613,19.847036
SH0222,Tärnebolstad,60.266423,19.958431
SH0228,Töftö,60.212065,20.298425
SH0230,Vårdö kyrka,60.242474,20.371713
SH0231,Vårdö kyrka,60.242963,20.370576
SH0247,Björkslingan,60.186319,19.950708
SH0248,Gölby,60.194108,19.946116
SH0256,Namnlös,60.095446,20.261212
SH0265,Namnlös,60.084676,20.238103
SH0273,Namnlös,60.075884,20.187276
SH0284,Namnlös,60.073333,20.132119
SH0289,Lemlands kyrka,60.071708,20.084142
SH0290,Namnlös,60.070336,20.073135
SH0295,Långnäs färjfäste,60.117638,20.296359
SH0297,Kvarnlyckevägen vsk.,60.071420,20.093462
SH0310,Ämnäs viken,60.204826,19.959452
SH0313,Ämnäs,60.209214,19.963291
SH0314,Ämnäsgatan,60.211430,19.973191
SH0318,Godbyhallen vsk.,60.223520,19.981334
SH0335,Bartsgårda,60.280501,19.956562
SH0339,Industrivägen vsk.,60.234799,19.981066
SH0342,Godby centrum,60.230598,19.989184
SH0351,Bomarsunds fästning,60.212179,20.240862
SH0352,Storängsgatan vsk.,60.219423,20.188527
SH0360,Mjölkdahlsvägen vsk.,60.108150,19.910526
SH0380,Elverksgatan,60.106403,19.929953
SH0423,Björsby,60.185286,19.964018
SH0425,Svinryggen,60.144714,19.812572
SH0445,Tingsbacka,60.203772,19.918481
SH0446,Tingsbacka,60.204055,19.917671
SH0451,Emkarby,60.210670,19.878339
SH0465,Ålandsplan,60.103918,19.937272
SH0483,Möckelgräs,60.339545,19.881348
SH0487,Skinnarböle,60.361341,19.843466
SH0490,Klemetsby,60.116631,20.258526
